Title,Reqt Num,Para Num,Requirement Name,Description,Verif Meth,cat1,Verif_Status
01) Range Requirements,RCC-012,3.2.1.23,FTS Functional Requirements/12,"A TM, autonomous, or other system shall be designed to provide verification to Range Safety that vehicle range safety requirements are met so that it is safe to proceed with the re-entry phase of flight. This TM shall include any data needed to indicate whether any RV system critical to safe re-entry and landing is no longer capable of functioning such that it poses an unacceptable risk to the public. (This data will be used to decide whether re-entry should or should not be initiated or be planned and executed so that the RV will impact in the safest possible area.)",Demonstration,Blk I,Open
01) Range Requirements,RCC-013,3.2.1.30,FTS Functional Requirements/13,"A TM, autonomous, or other system shall be designed to provide verification to Range Safety that the re-entry FTS has been enabled. (This verification is required prior to allowing the initiation of re-entry.)",Inspection,Blk I,Open
01) Range Requirements,RCC-014,3.2.1.31,FTS Functional Requirements/14,All FTSs that employ explosives or other hazardous systems must have a safe-and-arm (S&A) device (SAD) that can be placed in the safe position and its status verified for mission periods when it is not needed and after landing.,Inspection,Blk I,Open
01) Range Requirements,RCC-015,3.2.1.32,FTS Functional Requirements/15,An RV that could return with a payload (either intentionally or unintentionally) shall be evaluated for the need for a payload FTS.,Inspection,Blk I,Open
01) Range Requirements,RCC-016,3.2.1.33,FTS Functional Requirements/16,"Any FTS components intended to be reused from flight to flight shall be designed to withstand the intended number of mission cycles and environments, plus margin, and still meet its performance requirements.",Analysis,Blk I,Open
01) Range Requirements,RCC-017,3.2.1.45,FTS Functional Requirements/17,The number of FTS components and piece-parts shall be kept to an absolute minimum.,Demonstration,Blk I,Open
01) Range Requirements,RCC-018,3.2.1.46,FTS Functional Requirements/18,The Terminate command output signal from the flight termination receiver (FTR) shall be designed to go directly to FTS arming devices.,Inspection,Blk I,Open
01) Range Requirements,RCC-019,3.2.1.47,FTS Functional Requirements/19,"The reliability requirement will be considered met through compliance with this document, which incorporates the following:",Inspection,Blk I,Open
01) Range Requirements,RCC-020,3.2.1.48,FTS Functional Requirements/20,performance-oriented design requirements for components;,Inspection,Blk I,Open
01) Range Requirements,RCC-021,3.2.1.53,FTS Functional Requirements/21,comprehensive acceptance and qualification testing of components; and,Inspection,Blk I,Open
01) Range Requirements,RCC-022,3.2.1.54,FTS Functional Requirements/22,pre-flight confidence tests of the entire system.,Analysis,Blk I,Open
01) Range Requirements,RCC-024,3.2.2,Battery Max Load,"The battery shall operate at a continuous or peak power10Watts, Max.",Analysis;Test;,0,Open
02) System Specification,SYS-001,3.1,"Fire, Volcano, and Oil Tracking.","The system shall be capable of collecting and tracking imaging products for fire, volcano and oil tracking.",Analysis;Demo;,ICBM 1-4,Open
02) System Specification,SYS-002,3.2,Field Terminal Data Transmission,The system shall be capable of transmitting Direct Broadcast (DB) data products to field terminals.,Analysis;Demo;,ICBM 1-4,Open
02) System Specification,SYS-003,3.3,Long-term Climate Observations and Critical Environmental Data Products,The system shall be capable of generating long-term climate observations and critical environmental data products.,Analysis;Demo;,ICBM 1-4,Open
02) System Specification,SYS-004,3.4,Seeker Cooldown Time,The system shall have a cool down time of not less than XX seconds from the cool down initiation command. (reaching a stable cold hold temperature at or below the maximum cold temperature),,ICBM 1-4,Open
02) System Specification,SYS-005,3.5,System Probability of Acquisition,The system shall have a Probability of Acqusition (Pac) of >X.XXX,Analysis,ICBM 1-4,Open
02) System Specification,SYS-006,3.6,System Probability of Detection,The system shall have a probability of Detection (PDet) of > X.XXX,Test;,ICBM 1-4,Open
02) System Specification,SYS-007,3.7,System Probability of Hit,The system shall have a Probability of a hit (Phit) of > X.XXX,,ICBM 1-4,Open
02) System Specification,SYS-008,3.8,RF Emitter General Design Requirements,Fail-safe systems shall be incorporated so that inadvertent operation of any hazardous RF emitting system is prevented.,Test,ICBM 1-4,Open
02) System Specification,SYS-009,3.9,Special Considerations for Electroexplosive Subsystem Exposure to RF Radiation.,Electroexplosive subsystems shall not be exposed to RF radiation that is capable of firing the electroexplosive device (EED) by pin-to-pin bridgewire heating or pin-to-case arcing.,Test;,Blk-2,Open
02) System Specification,SYS-010,4,Special Considerations for Electroexplosive Subsystem Exposure to RF Radiation.,RF power at the EED shall not exceed 20 dB below the pin-to-pin direct current,Inspection,Blk-2,Open
02) System Specification,SYS-011,4.1,Special Considerations for Electroexplosive Subsystem Exposure to RF Radiation.,"The siting of ground-based RF emitters in proximity to electroexplosive subsystems shall be in accordance with Table 2-5, “Recommended EED Safe Separation Distances and Power Densities” in AFMAN 91-201, Explosives Safety Standards, and DoD 6055.9-STD, DoD Ammunition and Explosives Safety Standards.",Inspection,Blk-2,Open
02) System Specification,SYS-012,4.2,Special Considerations for Electroexplosive Subsystem Exposure to RF Radiation.,"The siting of ground-based RF emitters in proximity to electroexplosive subsystems shall be in accordance with Table 2-5, “Recommended EED Safe Separation Distances and Power Densities”, Explosives Safety Standards, and 9-STD,DoD Ammunition and Explosives Safety Standards.",Inspection;,ICBM 1-4,Open
02) System Specification,SYS-013,4.3,System Ka-band Emitter Requirements,All RF emitters shall have their RF hazard area verified by the RPO or a designated representative before the first operation and/or test.,Inspection,ICBM 1-4,Open
02) System Specification,SYS-014,4.4,System Ka-band Emitter Requirements,Safety features shall be tested and verified by the Range User before coming to the ranges.,Inspection,ICBM 1-4,Open
02) System Specification,SYS-015,4.5,System Ka-band Emitter Requirements,Test plans shall be submitted to Range Safety for review and approval.,,ICBM 1-4,Open
02) System Specification,SYS-016,4.6,Seeker Hold Time,The seeker shall maintain the cold temperature for not less that XXX seconds from achieving the maximum cold temperature with a YY mili-watt heat load at the FP interface,Demonstration,ICBM 1-4,Open
02) System Specification,SYS-017,4.7,System Ka-band Emitter RF Requirements,"Site plans shall be submitted to Range Safety and the RPO for all ground-based RF transmitters. See Attachment 1, A1.2.4.10.2.1 of this volume for site plan content",Demonstration,ICBM 1-4,Open
02) System Specification,SYS-018,4.8,RF Emitter Design and Test Data,The RF emitter design and test data requirements shall be submitted in accordance with Attachment TBD of this volume.,Demonstration,ICBM 1-4,Open
02) System Specification,SYS-019,4.9,Laser System Design Standards,"Laser systems shall be designed to ensure that personnel are not exposed to hazardous emissions in accordance with the requirements of ANSI Z136.1, Safe Use of Lasers, 21 CFR 1040, Performance Standards for Light Emitting Products, and 45 SWI 40-201 or 30 SWI 10-120, Procedures for Operations Involving Non-Ionizing Radiation, and 30 SWI 48-102, as applicable.",Demonstration,ICBM 1-4,Open
02) System Specification,SYS-020,5,System Reliability,The FTS shall undergo an analysis that demonstrates the predicted reliability of the system. The predicted design reliability shall be a minimum of 0.999 at the 95 percent confidence level.,Test,ICBM 1-4,Open
02) System Specification,SYS-021,5.1,Single Point Failure,An FTS shall undergo an analysis that demonstrates that the system satisfies the fault tolerance requirement. Each analysis shall follow a standard industry methodology such as a fault tree analysis or a failure modes effects and criticality analysis.,,ICBM 1-4,Open
02) System Specification,SYS-022,5.2,Fratricide,"An FTS shall undergo an analysis that demonstrates that the flight termination of any stage, at any time during flight, does not sever interconnecting FTS circuitry or ordnance to other stages until flight termination on all the other stages has been initiated.",Test,ICBM 1-4,Open
02) System Specification,SYS-023,5.3,Bent Pin,Each FTS component shall undergo an analysis that demonstrates that any single short circuit occurring as a result of a bent electrical connection pin does not result in inadvertent system activation or inhibiting the proper operation of the system.,Test,ICBM 1-4,Open
02) System Specification,SYS-024,5.4,Radio Frequency (RF) Link,RF link analyses shall be performed to demonstrate a 12 dB margin over TBD percent of the antenna radiation pattern using a nominal trajectory.,Test,ICBM 1-4,Open
02) System Specification,SYS-025,5.5,Sneak Circuit,"With all components functioning nominally, the analysis shall demonstrate that there are no latent paths that could cause an undesired event or inhibited function.",Test,ICBM 1-4,Open
02) System Specification,SYS-026,5.6,System Safety,"Any computing system, software, or firmware that performs a software safety critical function shall undergo the analysis needed to ensure reliable operation in accordance with the requirement in Attachment 1 of this document.",Analysis;,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-001,3.1,Connectors and Adapters,"Proper selection of connectors and adapters is an essential step in system design. Whenever possible choose the right connector for the type of cable and type of mating requirements of the equipment involved. Adapters should be avoided, if possible. They tend to be lossy and they also have a tendency to fail at the most inopportune time. If they are critical to the system design, then use a high quality adapter designed for the impedance and frequency range required.",,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-002,3.2,GSS Backwards Compatibility,The GSS shall maintain full backwards compatability to the old and new boosters.,Analysis,Blk-2,Open
03) Ground Support System ICD,BVICD-003,3.3,Terminations,"Terminations are used when you want a device to “see” a proper load at its inputs or outputs. Most terminations used in the RF telemetry world are low-power 50 ohm loads. Terminations are used on the unused ports of directional couplers and on hybrid couplers. Terminations, also known as dummy loads, are also used on the outputs of transmitters during laboratory tests. The main considerations when specifying terminations are impedance and power dissipation. Terminations are usually purely resistive since a reactive termination would have impedance that would vary with frequency. Improperly terminated test equipment could yield erroneous results.",Analysis,Blk-2,Open
03) Ground Support System ICD,BVICD-004,3.4,Attenuators,Attenuators are used to lower signal levels to be compatible with more sensitive devices. Attenuators are typically made to cover specific frequency bands and are generally 50-ohm devices. Attenuators come in fixed values ranging from several dB up to 60 or more dB. There are also attenuators of the continuously variable (linear) type or the step variety with discrete steps of 1 or 10 dB.,Analysis,Blk-2,Open
03) Ground Support System ICD,BVICD-005,3.5,Directional Couplers,"Directional couplers are used in several different ways. One common use is to sample RF signals that are passing through the coupler without disconnecting cables or breaking the RF path. Directional couplers can also be used in a reverse fashion to inject a signal into the primary RF path through the coupler. Directional couplers have an RF input, RF output, and one or two sample ports.",,Blk-2,Open
03) Ground Support System ICD,BVICD-006,3.6,Splitters and Combiners,"An RF splitter and an RF combiner (not to be confused with a diversity combiner) use essentially the same process to either split or combine signals. Splitters are used to split an RF signal to multiple loads while maintaining the impedance match of the circuit. The split is usually 3 dB for a two-way splitter and 6 dB for a four-way splitter, etc. In addition to the signal loss from the split, there are insertion losses encountered as well.",Test,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-007,3.7,Transmit Antennas,"The most common types of telemetry antennas utilized for aircraft and missile applications are the blade, slot, and several variations of conformal antennas.",Test,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-008,3.8,Blade Antenna,"Blades are commonly found on aircraft. Blade antennas are simple and relatively inexpensive compared to other antenna styles. Blades can be purchased for any of the telemetry bands and can also be purchased as multi-band antennas, i.e. lower and upper S-band in one antenna. Blade antennas have an omni-directional pattern in the azimuth plane and generally have more limited coverage in the elevation plane.",,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-009,3.9,Slot Antenna,"This is a common form of antenna found on missiles, drones, and occasionally on aircraft. The antenna is a flat conformal antenna capable of being attached to the surface of the test vehicle.",Test,Blk-2,Open
03) Ground Support System ICD,BVICD-010,4,Conformal Antenna,"This is a common form of antenna found on missiles, rockets, launch vehicle, bombs and artillery rounds. The antenna is built into the body of the test vehicle and often is indistinguishable from the body itself.",Inspection,Blk-2,Open
03) Ground Support System ICD,BVICD-011,4.1,Booster Ka-band Antenna Characteristics,"The main electrical (radio frequency) parameters to consider in an antenna are listed below. In addition to these parameters there are other important mechanical, aerodynamic, and environmental parameters to consider when selecting an antenna.",Inspection,Blk-2,Open
03) Ground Support System ICD,BVICD-012,4.2,Operating Frequency,"Operating frequency, or “operating bandwidth,” is a critical antenna parameter. This is generally the frequency range over which the antenna will be expected to perform with regard to pattern, gain, impedance matching, etc. Bandwidth is either specified between some upper and lower frequency or as a percentage of center frequency.",Inspection,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-013,4.3,Impedance,"The impedance of the antenna must match the impedance of the transmission line feeding it. In terms of RF, it is generally 50 ohms. If the antenna impedance doesn’t match the transmission line impedance there will be a mismatch",Inspection,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-014,4.4,Voltage Standing Wave Ratio (VSWR).,"As mentioned above, VSWR is a very important parameter to consider and measure on any antenna system. A poorly matched antenna or transmission line will alter results and may, in fact, cause harm to the transmitter system and perhaps other systems via spurious transmitter outputs.",Inspection,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-015,4.5,Battery Max Power Capacity,"This capability is the maximum amount of continuous or peak power that the battery can handle without causing damage to itself. For most applications, a maximum of 10 watts is adequate.",Demo;,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-016,4.6,Connector Types,"The type of RF connector on the antenna is another important item to be aware of. For the most part, connectors at telemetry frequencies are SMA or TNC connectors. On occasion you may find a type N connector.",Demonstration,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-017,4.7,Vehicle Coordinate System,"The vehicle has its own coordinate system (roll, yaw, pitch) as shown in Figure 2-24. The roll axis is orthogonal to the roll plane. The pitch axis is orthogonal to the pitch plane. The yaw axis is orthogonal to the yaw plane. Angle theta (?) is measured along the roll axis from the nose (0o) of the vehicle to the tail (180o).",Demonstration,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-018,4.8,Booster Ka-band Antenna Pattern,"Ka-band transmit antenna gain values (from the antenna pattern) vary due to deformities in the body (shape, wings, etc.) of the vehicle. A polar plot of the transmitting antenna plotted with respect to its location on the vehicle shows where maximum and minimum gain values occur for a particular “cut.”",Demonstration,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-019,4.9,Antenna Radiation Distribution Table (ARDT).,An ARDT consists of the gain values along the sphere of the theta and phi plane. One polar plot set of values for a given theta with phi from 0o to 358o will constitute a row of values in an ARDT as illustrated in Figure 2-26.,,ICBM 1-4,Open
03) Ground Support System ICD,BVICD-020,3.2.1.2,GS Secure Data Transmission,"The system data transmission shall compy with the NIST 8500 requirements.
Payload Secure Data Transmission",Analysis;Inspection;Demo;,0,Open
04) Payload Specification,JPSS_003,6.1.1.1,Mission Life,The JPSS satellite shall be designed for a mission life of 7 years.,Analysis;,ICBM 1-4,Open
04) Payload Specification,JPSS_005,6.1.1.3,Payload Reliability,"Excluding on-orbit failures, JPSS shall maintain a Reliability of greater than or equal to 98% over any 30 day period for the mission lifetime.",,ICBM 1-4,Open
04) Payload Specification,JPSS_006,6.1.1.4,Orbit,"JPSS shall be operated in a polar sun-synchronous orbit with the followingcharacteristics: altitude of 824 +/- 17 kilometers, ground track repeat accuracyof 20 km at the Equator with a repeat cycle less than 20 days, and ascendingequator crossing time of 1330 +/- 10 minutes.",Analysis;,ICBM 1-4,Open
04) Payload Specification,JPSS_007,6.1.1.5,Mission Risk Classification,JPSS shall be Category 1 per NASA Procedural Requirements (NPR) 7120.5and the risk classification shall be B per NPR 8705.4. ,Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_008,6.1.1.6,Launch Vehicle Risk Category,"The JPSS satellite shall be launched on an expendable launch vehicle of risk category 2 or higher, per NASA Policy Directive (NPD) 8610.7.",Inspection;,ICBM 1-4,Open
04) Payload Specification,JPSS_009,6.1.1.7,Payload Ka-band Data Transmission,JPSS shall provide Ka-band stored mission and telemetry data transmission from the satellite to the ground acquisition sites.,,ICBM 1-4,Open
04) Payload Specification,JPSS_011,6.1.2.1,Power Controller Bus Regulator Max Power,"The Power Controller and Bus Regulator Max Power Consumption shall be 137W, Max",Analysis;,ICBM 1-4,Open
04) Payload Specification,JPSS_013,6.1.2.3,Payload Ka-band Emitter Data Requirements,"The JPSS shall provide command, real-time and stored mission and telemetry data transmission to the Ka-band terminal.",Analysis;,ICBM 1-4,Open
04) Payload Specification,JPSS_014,6.1.2.4,X-band Data Transmission,"JPSS shall provide a real-time X-band direct broadcast of instrument data to the direct readout community (i.e., High Rate Data (HRD)).",Inspection;,ICBM 1-4,Open
04) Payload Specification,JPSS_015,6.1.2.5,Data Processing Transmission,"On a 30-day basis, at least 99% of the data collected by operational sensors on the JPSS satellite shall be delivered to the data processing system.",Inspection;,ICBM 1-4,Open
04) Payload Specification,JPSS_016,6.1.2.6,Terrain Grazing Angle,The JPSS shall constrain access based on the minimum and/or maximum angle between the relative position vector and the local terrain.,Inspection,ICBM 1-4,Open
04) Payload Specification,JPSS_017,6.1.2.7,Object Exclusion Angle,The JPSS shall select and remove objects that are to be excluded from access computations if they are at the indicated angle from the original object.,Inspection,ICBM 1-4,Open
04) Payload Specification,JPSS_019,6.1.3.1,Elevation Rise-Set Angle,The JPSS shall specify different elevation angle limits for the rise-stage and setting-stage of the satellite.,Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_021,6.1.3.3,Sensor Boresight Grazing,"The JPSS shall report information on the point along the sensor boresight direction with the lowest detic altitude. The point is computed in the sensor’s central body
fixed coordinate system.",Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_022,6.1.3.4,Sensor Access Refraction,"The JPSS shall report information of the effects of refraction on elevation angle, range, and propagation delay.",Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_023,6.1.3.5,Azimuth Elevation Mask,The JPSS shall report the obscuration mask data for a sensor or facility.,Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_024,6.1.3.6,Geostationary Belt Exclusion Angle,"The JPSS shall constrain access to an object when it falls
within the specified angle.",Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_025,6.1.3.7,Height Above Horizon,"The JPSS shall constrain access based on the minimum and/or maximum height of the facility, place, or target above the horizon.",Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_026,6.1.3.8,JPSS GS Operational Life,The ground segment shall have an operational life through at least FY2038. ,Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_027,6.1.3.9,Command and Control,The JPSS shall command and control S-NPP and all JPSS missions. ,Demonstration,ICBM 1-4,Open
04) Payload Specification,JPSS_028,6.1.3.10,CoPOES,The JPSS shall comply with the NOAA/NESDIS Policy for Continuity ofOperational Polar Orbiting Environmental Satellite Observations.,Inspection;,ICBM 1-4,Open
04) Payload Specification,JPSS_029,6.1.3.11,Satellite Mass Properties,The unit shall weigh no more than the weight specified in ICD D09809.,Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_030,6.1.3.12,Moment of Inertia,"MOI shall be measured in the two horizontal positions used for center of gravity, plus one vertical position to determine the third axis. Ballast will then be added or modified as required and measurements iterated until the mass center of gravity measurements meet the requirements stated in the specification.  MOI will be measured in the two horizontal positions used for center of gravity, plus one vertical position to determine the third axis.",Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_031,6.1.3.13,Center of Gravity,The Center of gravity shall be measured in two different horizontal positions.  The system will be supported by a specially designed support structure to provide the necessary alignment between the rate table axis and the axis. ,Analysis,ICBM 1-4,Open
04) Payload Specification,JPSS_032,3.2.2.1-9,Geo-location Accuracy,The remote sensing segment shall provide 2.5 km geolocation accuracy.,Analysis;Inspection;Demo;,0,Open
05) Booster Guidance Section,GS-001,3.1,Bus Com. 1553 GS Unlock,"Upon receipt of the Communications Link Verification/GS command via the 1553 bus, the S1GS shall (1)  Enable transmission of fire/BIT commands to the GS and (2)  Make the results status available for transmission to the bus controller upon request in accordance with the following table.",Test,ICBM 1-4,Open
05) Booster Guidance Section,GS-002,3.2,Bus Com. 1553 GS Lock,"Upon receipt of the Communications Link Verification/GS lock command, the S1GS shall (1)  Disable transmission of fire/BIT commands to the GS and (2)  Make the results status available for transmission to the bus controller upon request in accordance with the following table:",Test,ICBM 1-4,Open
05) Booster Guidance Section,GS-003,3.3,Bus Com. 2553 GS Fire/Test,"Upon receipt of the GS Squib FIRE/TEST  command, the S1GS shall transmit to the GS either FIRE or TEST commands in accordance with the following table.",Test,ICBM 1-4,Open
05) Booster Guidance Section,GS-004,3.4,Power Utilization,The S1GS shall utilize no more than 80 watts of electrical power.,Analysis,ICBM 1-4,Open
05) Booster Guidance Section,GS-005,3.5,Power Transfer Capability,The S1GS shall have the capability of transferring at least 18 amperes of current from the 28V_POWER lines to the 28V_POS_EXT lines with a  drop of no more than 1.5 volts.,Analysis,ICBM 1-4,Open
05) Booster Guidance Section,GS-006,3.6,First Stage Battery Power,"The First Stage Battery shall be capable of supplying 8W, max.",Analysis;Test;,ICBM 1-4,Open
05) Booster Guidance Section,GS-007,3.7,GS Ka-band Antenna Characteristics,"The main electrical (radio frequency) parameters to consider in an antenna are listed below. In addition to these parameters there are other important mechanical, aerodynamic, and environmental parameters to consider when selecting an antenna.",Analysis,ICBM 1-4,Open
05) Booster Guidance Section,GS-008,3.8,Discrete signal noise immun.,"The S1GS shall provide noise immunity such that a 40 volt noise spike of 50 microseconds duration on the GT0_BOOSTER, SAFETY_ENABLE, and/or  GS_POWER_ENABLE signal lines does not cause a state change.",Inspection,ICBM 1-4,Open
05) Booster Guidance Section,GS-009,3.9,GT0 Booster signal level shift,The S1GS shall implement a logic level shifts of the GT0_BOOSTER signal line such that corresponding state on the GT0_GPS_H output line is differential TTL compatible.,Inspection,ICBM 1-4,Open
05) Booster Guidance Section,GS-010,4,GT0 signal output switch,"Upon receipt of a valid logic high signal on the GT0_BOOSTER signal line, the S1GS shall irreversibly close a switch between GT0_KV and its return which changes the resistance between these two lines from greater than 1 megaohms  to less than 70 ± 10  ohms.",Demonstration,ICBM 1-4,Open
05) Booster Guidance Section,GS-011,4.1,Safety Enable Output latch,"Upon receipt of a valid logic high signal on the SAFETY_ENABLE signal line, the S1GS shall latch the PROPULSION_ENABLE signal irreversibly to the logic high state.",Demonstration,ICBM 1-4,Open
05) Booster Guidance Section,GS-012,4.2,GS Power Enable,"Upon receipt of a valid logic high signal on the GS_POWER_ENABLE signal line, the S1GS shall irreversibly apply power to the 27V_POS_BATT_VD output (GS squib power).",Demonstration,ICBM 1-4,Open
05) Booster Guidance Section,GS-013,4.3,Built In Test,The S1GS shall provide software access and test capability to perform a minimum of 65% Testability for BIT.,Demonstration,ICBM 1-4,Open
05) Booster Guidance Section,GS-014,4.4,Built In Test Reporting,The command to execute BIT and the reporting of BIT results within 60 seconds shall be via the 1553 bus.,Demonstration,ICBM 1-4,Open
05) Booster Guidance Section,GS-015,4.5,BIT False Alarm Rate,The BIT false alarm rate shall be less that 0.60%.,Demonstration,ICBM 1-4,Open
05) Booster Guidance Section,GS-016,4.6,28 VDC Output Power,"With input power to the S1GS as specified in the following table and a load of 18 amps, the voltage drop between the 28V input to the S1GS and the 28V_POS_EXT output from the S1GS shall be no more than 1.5V and the noise on the output shall not exceed the noise limit for the input power.",Inspection,ICBM 1-4,Open
05) Booster Guidance Section,GS-017,4.7,Adapter Avionics Power,The S1GS shall generate +5  and +15 Vdc power for use by adapter avionics with the following characteristics:,Inspection,ICBM 1-4,Open
05) Booster Guidance Section,GS-018,4.8,Avionics Power turn-on Transient,The +5 and +15 Vdc power forms shall remain within ± 10% of their respective nominal output voltage and shall recover to their specified limits within 20 milGSeconds whenever input power is applied.,Inspection,ICBM 1-4,Open
05) Booster Guidance Section,GS-019,4.9,Mass Properties,The unit shall weigh no more than the weight specified in ICD D09809,Test,ICBM 1-4,Open
05) Booster Guidance Section,GS-020,5,Outline and Mounting,The S1GS outline and mounting shall be in accordance with ICD D9885747,,ICBM 1-4,Open
05) Booster Guidance Section,GS-021,5.1,Reliability,"Subsequent to booster launch after a successful PLBIT, the S1GS shall meet its performance requirements with a reliability of greater than or equal to 0.999 for the flight time.",Analysis,ICBM 1-4,Open
05) Booster Guidance Section,GS-022,5.2,Storage Reliability,The S1GS shall meet performance requirements throughout the service life prior to vehicle launch with a probability of greater than or equal to 0.99.,Analysis,ICBM 1-4,Open
05) Booster Guidance Section,GS-024,5.3,Operating Life,The S1GS shall have an operating life of not less than 100 hours. Operating life is defined as that period of time prior to launch when the power is applied to the S1GS.,Analysis,ICBM 1-4,Open
05) Booster Guidance Section,GS-025,5.4,Service Life,Service life shall be [parameter #91]. No preventive maintenance will be required for the unit to meet the service life.,Test,ICBM 1-4,Open
05) Booster Guidance Section,GS-026,5.5,Ground Operating time,The S1GS shall be operable for up to 10 minutes continuously when followed by a 6:1 ratio of cooldown time to operating time.,Test,ICBM 1-4,Open
05) Booster Guidance Section,GS-027,5.6,Flight Operating Time,The S1GS shall be capable of a flight operating time of [parameter #21].,Test,ICBM 1-4,Open
06) Booster Autopilot,AP-001,3.1,Bus Com. 1553 AP Unlock,"Upon receipt of the Communications Link Verification/AP command via the 1553 bus, the AP shall (1)  Enable transmission of fire/BIT commands to the AP and (2)  Make the results status available for transmission to the bus controller upon request in accordance with the following table.",Test,ICBM 1-4,Open
06) Booster Autopilot,AP-002,3.2,Bus Com. 1553 AP Lock,"Upon receipt of the Communications Link Verification/AP lock command, the AP shall (1)  Disable transmission of fire/BIT commands to the AP and (2)  Make the results status available for transmission to the bus controller upon request in accordance with the following table:",Test;,ICBM 1-4,Open
06) Booster Autopilot,AP-003,3.3,Bus Com. 2553 AP Fire/Test,"Upon receipt of the AP Squib FIRE/TEST  command, the AP shall transmit to the AP either FIRE or TEST commands in accordance with the following table.",Test,ICBM 1-4,Open
06) Booster Autopilot,AP-004,3.4,Power Utilization,The AP shall utilize no more than 80 watts of electrical power.,Analysis,ICBM 1-4,Open
06) Booster Autopilot,AP-005,3.5,Power Transfer Capability,The AP shall have the capability of transferring at least 18 amperes of current from the 28V_POWER lines to the 28V_POS_EXT lines with a  drop of no more than 1.5 volts.,Analysis,ICBM 1-4,Open
